French,English
pensais,thought
aide,help
genre,kind
aucun,no
laisse,leash
eux,them
heures,hours
pendant,while
revoir,meet again
parle,speak
savais,knew
étaient,were
donner,give
corps,body
yeux,eyes
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
côté,side
vieux,old
matin,morning
tellement,so much
venu,came
suite,after
pardon,sorry
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
enfin,finally
attendez,Wait
boulot,job
arrêter,Stop
terre,Earth
compte,account
loin,far
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
